id,name,affiliation,orcid
AJ,Alexis Joly,"INRIA Zenith, Montpellier, France",0000-0002-2161-9940
JB,Julien Barde,"UMR Marbec, IRD, France",0000-0002-3519-6141
LM,Laurence Maurel,"Kart'eau, La Réunion, France",
MD,Magali Duval,"Ifremer DOI, La Réunion, France",0000-0002-6425-7724
MC,Matteo Contini,"Ifremer DOI, La Réunion, France",0009-0007-8665-6201
MR,Mervyn Ravitchandirane,"Ifremer DOI, La Réunion, France",0009-0007-6170-0157
MJ,Mohan Julien,"Ifremer DOI, La Réunion, France",0000-0003-2808-1095
SBE,Serge Bernard,"Ifremer DOI, La Réunion, France",0000-0003-1772-0592
SBO,Sylvain Bonhommeau,"Ifremer DOI, La Réunion, France",0000-0002-0882-5918
SP,Sylvain Poulain,"UMR Marbec, IRD, La Réunion, France",0009-0005-9789-9095
VI,Victor Illien,"Ifremer DOI, La Réunion, France",0009-0007-2143-8027
