session_name,Creators,DataManager,DataCollector,ProjectMember
20150611_REU-SaintGilles_scuba,"PM, TB, MR, LM",VI,,
20150615_REU-LaSaline_scuba,"PM, TB, MR, LM",VI,,
20150616_REU-LaSaline_scuba,"PM, TB, MR, LM",VI,,
20150617_REU-SaintLeu_scuba,"PM, TB, MR, LM",VI,,
20150619_REU-SaintGilles_scuba,"PM, TB, MR, LM",VI,,
20150807_REU-LaSaline_scuba,"PM, TB, MR, LM",VI,,
20150925_REU-LaSaline_scuba,"PM, TB, MR, LM",VI,,
20151026_REU-LaSaline_scuba,"PM, TB, MR, LM",VI,,
20151210_REU-LaSaline_scuba,"PM, TB, MR, LM",VI,,
20151210_REU-SaintGilles_scuba,"PM, TB, MR, LM",VI,,
20210113_REU-HERMITAGE_SCUBA-1_00,"SBO, JB, MC",VI,"MC, TC",
20210113_REU-HERMITAGE_PADDLE-1_00,"SBO, JB, MC",VI,"MC, TC",
20210114_REU-HERMITAGE_PADDLE-2_00,"SBO, JB, MC",VI,"MC, TC",
20210118_REU-ST-LEU_PADDLE-2_00,"SBO, JB, MC",VI,"MC, TC",
20210210_REU-ST-LEU_PADDLE-2_00,"SBO, JB, MC",VI,"MC, TC",
20210218_REU-HERMITAGE_SCUBA-1_00,"SBO, JB, MC",VI,"MC, TC",
20210218_REU-HERMITAGE_PADDLE-1_00,"SBO, JB, MC",VI,"MC, TC",
20210218_REU-HERMITAGE_PADDLE-1_01,"SBO, JB, MC",VI,"MC, TC",
20210310_REU-HERMITAGE_SCUBA-1_00,"SBO, JB, MC",VI,"MC, TC",
20210310_REU-HERMITAGE_SCUBA-1_01,"SBO, JB, MC",VI,"MC, TC",
20210310_REU-HERMITAGE_SCUBA-2_00,"SBO, JB, MC",VI,"MC, TC",
20210310_REU-HERMITAGE_SCUBA-2_01,"SBO, JB, MC",VI,"MC, TC",
20210310_REU-HERMITAGE_SCUBA-2_02,"SBO, JB, MC",VI,"MC, TC",
20210317_REU-HERMITAGE_SCUBA-1_00,"SBO, JB, MC",VI,"MC, TC",
20210317_REU-HERMITAGE_SCUBA-1_01,"SBO, JB, MC",VI,"MC, TC",
20210317_REU-HERMITAGE_SCUBA-2_00,"SBO, JB, MC",VI,"MC, TC",
20210317_REU-HERMITAGE_SCUBA-2_01,"SBO, JB, MC",VI,"MC, TC",
20210401_REU-HERMITAGE_SCUBA-1_00,"SBO, JB, MC",VI,"MC, TC",
20210401_REU-HERMITAGE_SCUBA-1_01,"SBO, JB, MC",VI,"MC, TC",
20210401_REU-HERMITAGE_SCUBA-2_00,"SBO, JB, MC",VI,"MC, TC",
20210401_REU-HERMITAGE_SCUBA-2_01,"SBO, JB, MC",VI,"MC, TC",
20221019_SYC-ALDABRA-ARM01_ASV-01_00,"SBO, JB, MC",VI,"MC, MR, MJ",
20221019_SYC-ALDABRA-ARM01_ASV-01_01,"SBO, JB, MC",VI,"MC, MR, MJ",
20221020_SYC-ALDABRA-ARM01_ASV-01_00,"SBO, JB, MC",VI,"MC, MR, MJ",
20221020_SYC-ALDABRA-ARM01_ASV-01_01,"SBO, JB, MC",VI,"MC, MR, MJ",
20221020_SYC-ALDABRA-ARM01_ASV-01_02,"SBO, JB, MC",VI,"MC, MR, MJ",
20221020_SYC-ALDABRA-ARM01_ASV-02_01,"SBO, JB, MC",VI,"MC, MR, MJ",
20221020_SYC-ALDABRA-GIGI_ASV-01_00,"SBO, JB, MC",VI,"MC, MR, MJ",
20221021_SYC-ALDABRA-ARM01_ASV-01_00,"SBO, JB, MC",VI,"MC, MR, MJ",
20221021_SYC-ALDABRA-ARM01_ASV-01_02,"SBO, JB, MC",VI,"MC, MR, MJ",
20221021_SYC-ALDABRA-ARM01_ASV-02_00,"SBO, JB, MC",VI,"MC, MR, MJ",
