session_name,Creators,DataManager,DataCollector,ProjectMember
20210308_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210308_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210309_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210309_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210309_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210310_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210310_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210310_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210311_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210311_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
