session_name,Creators,DataManager,DataCollector,ProjectMember
20171104_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20171105_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20171118_MUS-Prairie_PADDLE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20171119_MUS-Black-Rocks_PADDLE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180101_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180102_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180103_MUS-Pointe-Esny_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180114_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180121_MUS-Le-Morne_PADDLE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180218_MUS-La-Preneuse_PADDLE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180224_MUS-Le-Morne_PADDLE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180225_MUS-Le-Morne_PADDLE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180303_MUS-Pointe-Esny_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180304_MUS-Pointe-Esny_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180310_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180311_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180312_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180317_MUS-Anse-La-Raie_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180318_MUS-Pointe-Esny_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180324_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180401_MUS-Riambel_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180407_MUS-Le-Morne-with-Aerial_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180408_MUS-Le-Morne-with-Aerial_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180426_MUS-ile-aux-cerfs_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180427_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180429_MUS-Le-Morne-with-Aerial_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180506_MUS-Le-Morne-Manawa_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180512_MUS-Balacava-2_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180512_MUS-Balacava_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180526_MUS-Riambel_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180527_MUS-Riambel_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180602_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180603_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180610_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180613_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20180616_MUS-Anse-La-Raie_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
