session_name,Creators,DataManager,DataCollector,ContactPerson,ProjectMember
20211126_REU-HERMITAGE_AUV-1_01,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211126_REU-HERMITAGE_AUV-1_02,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211126_REU-HERMITAGE_AUV-1_03,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211126_REU-HERMITAGE_AUV-1_04,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211126_REU-HERMITAGE_AUV-1_05,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211126_REU-HERMITAGE_AUV-1_06,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211130_REU-BOUCAN_AUV-1_01,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211201_REU-HERMITAGE_AUV-1_01,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211201_REU-HERMITAGE_AUV-1_02,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211201_REU-HERMITAGE_AUV-1_03,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211201_REU-HERMITAGE_AUV-1_04,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211201_REU-HERMITAGE_AUV-1_05,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211201_REU-HERMITAGE_AUV-1_06,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
20211202_REU-BOUCAN_AUV-1_01,"CT, MD, SBO, VI",VI,"CF, CT, LB, RP, AA, TM","MD, SBO, MF",
