session_name,Creators,DataManager,DataCollector
20231201_REU-HERMITAGE_UAV_01,"MC, SBO, JB",VI,SBE
20231202_REU-HERMITAGE_UAV_01,"MC, SBO, JB",VI,SBE
20231202_REU-HERMITAGE_UAV_02,"MC, SBO, JB",VI,SBE
20231202_REU-HERMITAGE_UAV_03,"MC, SBO, JB",VI,SBE
20231202_REU-HERMITAGE_UAV_04,"MC, SBO, JB",VI,SBE
20231202_REU-HERMITAGE_UAV_05,"MC, SBO, JB",VI,SBE
20231204_REU-HERMITAGE_UAV_01,"MC, SBO, JB",VI,SBE
20231204_REU-HERMITAGE_UAV_02,"MC, SBO, JB",VI,SBE
20231204_REU-HERMITAGE_UAV_03,"MC, SBO, JB",VI,SBE
20231204_REU-HERMITAGE_UAV_04,"MC, SBO, JB",VI,SBE
20231205_REU-HERMITAGE_UAV_01,"MC, SBO, JB",VI,SBE
20231205_REU-HERMITAGE_UAV_02,"MC, SBO, JB",VI,SBE
20231205_REU-HERMITAGE_UAV_03,"MC, SBO, JB",VI,SBE
20231206_REU-HERMITAGE_UAV_01,"MC, SBO, JB",VI,SBE
20231207_REU-HERMITAGE_UAV_01,"MC, SBO, JB",VI,SBE
20231207_REU-HERMITAGE_UAV_02,"MC, SBO, JB",VI,SBE
20231207_REU-HERMITAGE_UAV_03,"MC, SBO, JB",VI,SBE
20231207_REU-HERMITAGE_UAV_04,"MC, SBO, JB",VI,SBE
20231207_REU-HERMITAGE_UAV_05,"MC, SBO, JB",VI,SBE
20231207_REU-HERMITAGE_UAV_06,"MC, SBO, JB",VI,SBE
20231208_REU-SAINTLEU_UAV_01,"MC, SBO, JB",VI,SBE
20231208_REU-SAINTLEU_UAV_02,"MC, SBO, JB",VI,SBE
20231208_REU-SAINTLEU_UAV_03,"MC, SBO, JB",VI,SBE
20231208_REU-SAINTLEU_UAV_04,"MC, SBO, JB",VI,SBE
20231208_REU-SAINTLEU_UAV_05,"MC, SBO, JB",VI,SBE
20231208_REU-SAINTLEU_UAV_06,"MC, SBO, JB",VI,SBE
